"","mu","gamma","f","grow","rel_fit"
"1",0.01,1e-08,1e-06,0.17,0.99
"2",0.01,1e-08,1e-06,0.17,0.99
"3",0.00999999999999999,9.99999992015545e-09,9.99999999996585e-07,0.17,0.99
"4",0.00999999999999999,9.99999992015545e-09,9.99999999996585e-07,0.17,0.99
"5",0.01,9.99999996855905e-09,9.9999999994888e-07,0.17,0.99
"6",0.01,9.99999998766695e-09,1.00000000006266e-06,0.17,0.99
"7",0.00999999999999997,1.00000002005595e-08,1.00000000013673e-06,0.17,0.99
"8",0.00999999999999987,1.00000002552229e-08,1.00000000020635e-06,0.17,0.99
"9",0.01,1.00000004299037e-08,1.00000000023563e-06,0.17,0.99
"10",0.0100000000000002,1.00000005449028e-08,1.00000000012045e-06,0.17,0.99
"11",0.0100000000000004,1.00000005082498e-08,1.00000000019245e-06,0.17,0.99
"12",0.0100000000000002,1.00000005570964e-08,1.00000000010531e-06,0.17,0.99
"13",0.0100000000000002,1.000000054794e-08,1.00000000020612e-06,0.17,0.99
"14",0.0100000000000001,1.00000005980541e-08,1.00000000022683e-06,0.17,0.99
"15",0.0100000000000002,1.00000005888103e-08,1.00000000025769e-06,0.17,0.99
"16",0.0100000000000002,1.00000005888103e-08,1.00000000025769e-06,0.17,0.99
"17",0.0100000000000002,1.00000005888103e-08,1.00000000025769e-06,0.17,0.99
"18",0.0100000000000001,1.00000004689068e-08,1.00000000023762e-06,0.17,0.99
"19",0.0100000000000001,1.00000005524276e-08,1.00000000031804e-06,0.17,0.99
"20",0.00999999999999996,1.00000005900751e-08,1.00000000032606e-06,0.17,0.99
"21",0.00999999999999996,1.00000005900751e-08,1.00000000032606e-06,0.17,0.99
"22",0.0100000000000001,1.00000006419485e-08,1.00000000052226e-06,0.17,0.99
"23",0.0100000000000001,1.00000006111897e-08,1.00000000044355e-06,0.17,0.99
"24",0.0100000000000001,1.00000006111897e-08,1.00000000044355e-06,0.17,0.99
"25",0.01,1.00000005677911e-08,1.0000000004358e-06,0.17,0.99
"26",0.00999999999999997,1.00000005790294e-08,1.00000000019764e-06,0.17,0.99
"27",0.0100000000000002,1.0000000523691e-08,1.00000000028334e-06,0.17,0.99
"28",0.0100000000000002,1.00000004510522e-08,1.0000000000405e-06,0.17,0.99
"29",0.0100000000000004,1.00000003837344e-08,9.99999999681902e-07,0.17,0.99
"30",0.0100000000000004,1.00000003837344e-08,9.99999999681902e-07,0.17,0.99
"31",0.0100000000000004,1.00000003837344e-08,9.99999999681902e-07,0.17,0.99
"32",0.0100000000000004,1.00000002460178e-08,9.99999999632762e-07,0.17,0.99
"33",0.0100000000000005,1.00000002925062e-08,9.99999999710807e-07,0.17,0.990000000000001
"34",0.0100000000000005,1.00000002594519e-08,9.99999999722437e-07,0.17,0.99
"35",0.0100000000000004,1.00000000862111e-08,9.99999999753002e-07,0.169999999999999,0.99
"36",0.0100000000000004,9.9999998958243e-09,9.99999999816409e-07,0.17,0.99
"37",0.0100000000000006,9.9999998346629e-09,9.99999999646718e-07,0.17,0.99
"38",0.0100000000000006,9.99999977496653e-09,9.99999999780564e-07,0.17,0.99
"39",0.0100000000000006,9.99999977496653e-09,9.99999999780564e-07,0.17,0.99
"40",0.0100000000000006,9.99999966359153e-09,9.99999999853515e-07,0.17,0.99
"41",0.0100000000000005,9.99999953614632e-09,9.99999999781367e-07,0.17,0.99
"42",0.0100000000000006,9.99999930495198e-09,9.99999999594845e-07,0.17,0.99
"43",0.0100000000000005,9.999999454305e-09,9.99999999587193e-07,0.17,0.99
"44",0.0100000000000004,9.9999993206002e-09,9.99999999605052e-07,0.17,0.99
"45",0.0100000000000004,9.99999923503105e-09,9.99999999753215e-07,0.17,0.99
"46",0.0100000000000004,9.99999923503105e-09,9.99999999753215e-07,0.17,0.99
"47",0.0100000000000004,9.99999923503105e-09,9.99999999753215e-07,0.17,0.99
"48",0.0100000000000002,9.99999916602921e-09,9.99999999942287e-07,0.17,0.99
"49",0.0100000000000002,9.99999916602921e-09,9.99999999942287e-07,0.17,0.99
"50",0.0100000000000003,9.99999902405788e-09,9.99999999753785e-07,0.17,0.99
"51",0.0100000000000003,9.99999925234626e-09,9.99999999551405e-07,0.17,0.99
"52",0.0100000000000003,9.99999914927886e-09,9.9999999947514e-07,0.17,0.99
"53",0.0100000000000005,9.99999900023759e-09,9.99999999522107e-07,0.17,0.99
"54",0.0100000000000005,9.99999903290946e-09,9.99999999416495e-07,0.17,0.99
"55",0.0100000000000004,9.99999913014345e-09,9.99999999558221e-07,0.17,0.99
"56",0.0100000000000005,9.99999924809643e-09,9.9999999956368e-07,0.17,0.99
"57",0.0100000000000006,9.99999912677124e-09,9.99999999381077e-07,0.17,0.99
"58",0.0100000000000006,9.99999922369911e-09,9.99999999380978e-07,0.17,0.99
"59",0.0100000000000005,9.99999929232868e-09,9.99999999435786e-07,0.17,0.99
"60",0.0100000000000004,9.9999991608561e-09,9.99999999447774e-07,0.17,0.99
"61",0.0100000000000005,9.99999920525801e-09,9.99999999402121e-07,0.17,0.99
"62",0.0100000000000006,9.99999907436405e-09,9.99999999431722e-07,0.17,0.99
"63",0.0100000000000006,9.99999905911277e-09,9.99999999534386e-07,0.17,0.99
"64",0.0100000000000006,9.99999916042721e-09,9.99999999525061e-07,0.17,0.99
"65",0.0100000000000006,9.99999927432278e-09,9.9999999960301e-07,0.17,0.989999999999999
"66",0.0100000000000007,9.99999932512985e-09,9.99999999618136e-07,0.17,0.989999999999999
"67",0.0100000000000005,9.99999932841127e-09,9.99999999403758e-07,0.17,0.989999999999999
"68",0.0100000000000005,9.99999932841127e-09,9.99999999403758e-07,0.17,0.989999999999999
"69",0.0100000000000004,9.9999993224776e-09,9.9999999948825e-07,0.17,0.989999999999999
"70",0.0100000000000005,9.99999941050552e-09,9.99999999530565e-07,0.17,0.989999999999999
"71",0.0100000000000005,9.99999940359365e-09,9.99999999654491e-07,0.17,0.989999999999999
"72",0.0100000000000005,9.99999928826377e-09,9.99999999592494e-07,0.17,0.989999999999999
"73",0.0100000000000003,9.99999939362486e-09,9.99999999460345e-07,0.17,0.989999999999999
"74",0.0100000000000002,9.99999916230452e-09,9.99999999460809e-07,0.17,0.989999999999999
"75",0.0100000000000003,9.99999916852956e-09,9.99999999396733e-07,0.17,0.989999999999999
"76",0.0100000000000004,9.99999914849102e-09,9.99999999549851e-07,0.17,0.989999999999999
"77",0.0100000000000004,9.99999924683014e-09,9.999999995496e-07,0.17,0.989999999999999
"78",0.0100000000000004,9.99999921725494e-09,9.99999999487943e-07,0.17,0.989999999999999
"79",0.0100000000000005,9.99999922959823e-09,9.9999999950449e-07,0.17,0.989999999999999
"80",0.0100000000000005,9.9999991609426e-09,9.99999999562038e-07,0.17,0.989999999999999
"81",0.0100000000000005,9.99999917676662e-09,9.99999999498198e-07,0.17,0.989999999999999
"82",0.0100000000000006,9.99999927250645e-09,9.99999999413621e-07,0.17,0.989999999999999
"83",0.0100000000000006,9.9999992115337e-09,9.99999999466705e-07,0.17,0.99
"84",0.0100000000000005,9.99999927394107e-09,9.99999999517081e-07,0.17,0.99
"85",0.0100000000000004,9.9999992949142e-09,9.99999999543473e-07,0.17,0.99
"86",0.0100000000000003,9.99999919542604e-09,9.99999999540676e-07,0.17,0.99
"87",0.0100000000000002,9.99999905793742e-09,9.99999999475144e-07,0.17,0.99
"88",0.0100000000000001,9.9999990536958e-09,9.99999999638233e-07,0.17,0.99
"89",0.0100000000000003,9.99999905017218e-09,9.99999999775939e-07,0.17,0.989999999999999
"90",0.0100000000000004,9.99999908274876e-09,9.99999999764254e-07,0.17,0.989999999999999
"91",0.0100000000000004,9.99999908274876e-09,9.99999999764254e-07,0.17,0.989999999999999
"92",0.0100000000000003,9.99999898579255e-09,9.99999999773483e-07,0.17,0.989999999999999
"93",0.0100000000000002,9.99999900194848e-09,9.99999999865193e-07,0.17,0.99
"94",0.0100000000000003,9.99999913076623e-09,9.9999999983175e-07,0.17,0.99
"95",0.0100000000000004,9.99999924180108e-09,9.99999999904181e-07,0.17,0.989999999999999
