"","mu","gamma","f2","f5","f6","f7","f8","f10","grow","rel_fit"
"572",0.088975436143738,0.0502137406645268,0.176101995650245,0.194524088485159,-0.176015992903489,0.184810007053086,-0.129847150383156,-0.191418782289034,0.795170246480448,0.13254736006656
"573",0.088975436143738,0.0502137406645268,0.176101995650245,0.194524088485159,-0.176015992903489,0.184810007053086,-0.129847150383156,-0.191418782289034,0.795170246480448,0.13254736006656
"574",0.0924870695705785,0.0602585136801453,0.18200291229903,0.185397691501055,-0.178867342980754,0.196721520785662,-0.136987494401634,-0.180155353633767,0.877881620043858,0.0405604394340555
"575",0.0802574981734657,0.0579982421115925,0.194463713446602,0.176142205664665,-0.156694352512145,0.162517468127924,-0.180825288513279,-0.199974943691337,0.95253713474235,0.0341273937580566
"576",0.0693250987171747,0.051384099973628,0.175469265586984,0.164684561718662,-0.101225308357379,0.125277433271626,-0.174708559847866,-0.138085857076389,0.84349634354721,0.151041507164813
"577",0.0668153314828939,0.0521174625873735,0.145894042950306,0.138761219279215,0.0291609441415845,0.041776549914454,-0.164332932368252,-0.0281250889155328,0.678571856393561,0.363032065249247
"578",0.0610860721971205,0.0414778927544091,0.135063459647653,0.132567978623552,0.0764392988053311,0.0354578534682049,-0.145075469476958,0.020404504742383,0.590924974067798,0.454633277804907
"579",0.04350035923367,0.052720992090313,0.101862136299853,0.118827850899519,0.14099251434385,0.00368126100843037,-0.135118322376651,0.0672254881460283,0.425949307798656,0.613069426882302
"580",0.0400815658285444,0.0616896134708905,0.0874431559006457,0.126594785269666,0.15900249729919,-0.0104911709533008,-0.144595815180494,0.0791288780404745,0.364880876602877,0.655090323049751
"581",0.0210299348330257,0.0545467949090831,0.0804417880412411,0.104857699162053,0.183265345946756,-0.0367776193276837,-0.146189536045056,0.11374558150819,0.350331060749459,0.685938478990032
"582",0.00866452020123646,0.0614670078660797,0.0610693747617178,0.0900846773691406,0.168684465024424,-0.0451451568416275,-0.127450315870476,0.136503189627045,0.249713770192622,0.76936741030425
"583",0.00866452020123646,0.0614670078660797,0.0610693747617178,0.0900846773691406,0.168684465024424,-0.0451451568416275,-0.127450315870476,0.136503189627045,0.249713770192622,0.76936741030425
"584",0.00914528664189635,0.0479833768910345,0.0296887255869384,0.0628706829471272,0.103174693034969,-0.104715278539824,-0.0638023099928731,0.18350466784748,0.0403477964281453,0.984630829771996
"585",0.0111602673078665,0.0593795443612419,0.0191970700755254,0.0804415339393398,0.0508884761789584,-0.075094320974523,-0.0572968566432622,0.128372155262941,0.12093998926711,0.882999311278849
"586",0.0246406131277585,0.0763069692474035,-0.00300570819140324,0.0726006044194571,0.0665046600456486,-0.0936999382403755,-0.0519305762194186,0.133902627317707,0.123358809066663,0.914915495140699
"587",0.0134827382705122,0.0863099426814805,-0.00130240694922808,0.0656350030975635,0.0473935318386347,-0.119984613747661,-0.038028296896318,0.123510525227221,0.10645110208341,0.956388413548927
"588",0.0117549158277373,0.0642461514451622,0.0332411498003212,0.0462992332768242,-0.00558244573451906,-0.0893078152442538,-0.108279350880411,0.0985022438648618,0.195531889333203,0.880093877250869
"589",0.011698400346886,0.0622263039416463,0.0672646212405658,0.0498412188243911,-0.0304549645978465,-0.0637501725571491,-0.0748739722405454,0.0810690412269004,0.249154995382245,0.843255701258999
"590",0.011698400346886,0.0622263039416463,0.0672646212405658,0.0498412188243911,-0.0304549645978465,-0.0637501725571491,-0.0748739722405454,0.0810690412269004,0.249154995382245,0.843255701258999
"591",0.00937909837144279,0.0647932450146125,0.0350660095287625,0.0476207197964739,0.0522043097915644,-0.11998828595391,-0.0382409345503855,0.13382190285127,0.172867362548588,0.935149849100115
"592",0.00937909837144279,0.0647932450146125,0.0350660095287625,0.0476207197964739,0.0522043097915644,-0.11998828595391,-0.0382409345503855,0.13382190285127,0.172867362548588,0.935149849100115
"593",0.00937909837144279,0.0647932450146125,0.0350660095287625,0.0476207197964739,0.0522043097915644,-0.11998828595391,-0.0382409345503855,0.13382190285127,0.172867362548588,0.935149849100115
"594",0.00937909837144279,0.0647932450146125,0.0350660095287625,0.0476207197964739,0.0522043097915644,-0.11998828595391,-0.0382409345503855,0.13382190285127,0.172867362548588,0.935149849100115
"595",0.00518897874658085,0.0671639227610255,0.0367360135811631,0.0435318751629528,0.063351470854986,-0.125924469371649,-0.0310380622960029,0.142707259749201,0.178037614848652,0.954549791533227
"596",0.0134716667077908,0.064591775458093,-0.00608154444655254,0.034046057911819,0.109353769493219,-0.161464683024488,0.0160199911461692,0.186980878634518,0.0700091101708067,1.07859019666589
"597",0.0135349375167419,0.0606107925846996,-0.0133649394254435,0.0345391732096654,0.139902541240208,-0.197105568613585,0.0636539364470879,0.161870522900637,0.115137277377426,1.15065821387615
"598",0.00740708213643266,0.0539271854221896,-0.0505966081266226,-0.0216919808110855,0.183118652008788,-0.122615446948187,0.0394091007334855,0.0754345188013524,0.0696804062800303,1.00272363930655
"599",0.00240017611282423,0.0494712573741798,-0.0407182741829528,-0.0107268023335921,0.18832348161507,-0.10259534221798,0.0266364197567203,0.0208343438810567,0.0256851505808096,1.04374176103599
"600",0.00100201154061515,0.0527671463971109,-0.00569815276361472,0.0124458736381443,0.170718659107016,-0.0398443993218991,0.014103974745969,-0.0377431262970044,0.0561015285120265,1.00509177713463
"601",0.00833200768297588,0.0372429299782249,0.0315058738953994,0.0417299734913016,0.136686550974637,0.0521533079280249,-0.0256713768681017,-0.105219477746208,0.139955944869011,0.901831161260355
"602",0.0329452823788618,0.0260605280660321,0.0674622435598067,0.0702381183637398,0.134521234501874,0.126030937578126,-0.0166610860832387,-0.175246169981045,0.125490668622057,0.817980097135915
"603",0.0279924920756084,0.0220185072856997,0.0583189775433784,0.0618713853238676,0.117605386438133,0.11397778478655,-0.0157323842470737,-0.13554187602656,0.104108695216132,0.848235555718671
"604",0.0208119411936817,0.0431411406709621,0.0397183141604429,0.046285760549554,0.114779537458885,0.0654024520831282,-0.0232471926609617,-0.100126542675306,0.115590071218745,0.846033005519134
"605",0.0232188074873729,0.0475248476724531,0.0907518799005262,0.0503094726132189,0.050548498481954,0.141001725001123,-0.0504332949030734,-0.177195559968884,0.213590194274258,0.732901159699235
"606",0.0343470927040019,0.0257018709939559,0.138519628953536,0.0777832251227734,0.0229180066421389,0.196645240373007,-0.0391766900660015,-0.163714803012905,0.192574379276138,0.688803083279172
