"","mu2","mu5","mu6","mu7","mu8","mu10","gamma2","gamma5","gamma6","gamma7","gamma8","gamma10","f2","f5","f6","f7","f8","f10","grow"
"mu2",0.00126836765192427,0.000335758671010441,-0.00121545880154483,-0.000665229697204233,0.000154612828884164,0.000638170821931562,0.00145926691168602,-0.00117232357240491,0.000346381885318118,0.000568500143924344,-0.000319054426426531,-0.000224062370444279,-7.69801211711824e-05,-0.000146382019111604,8.59699118130435e-05,-4.6268421311627e-05,0.000346041714557019,1.75047900399475e-07,0.000364408685930523
"mu5",0.000335758671010441,0.00276983936208808,-0.000515751773542022,-0.00103567951970645,0.000671035908680113,-0.00165964417968253,0.00313204910534074,6.30168926942696e-06,0.000593722594580984,-9.61660627980836e-05,0.000961244248376352,-0.000375602063827455,-0.000399797553556181,-0.0011620004603443,0.000606965289307771,-0.000454432287184342,0.000437371798696514,0.00132886599835587,0.000157604597257193
"mu6",-0.00121545880154483,-0.000515751773542022,0.0440994886974548,0.00558028510302044,-0.0147708317641372,0.0200708848086163,0.00654370513724813,-0.00232687980217768,-0.0183793008238457,0.0014264772949806,-0.00673855778455444,0.025262218299817,0.00545481275807587,0.000175888006929667,-0.00167073890398676,-0.00117611242210302,-0.001021931868632,-0.00355725348301765,-0.00295741340549649
"mu7",-0.000665229697204233,-0.00103567951970645,0.00558028510302044,0.00801169334007797,-0.00448539635400126,0.0035713220811155,-0.00503662315679659,0.00052448576610909,-0.00106601779912899,-0.00119908748959571,-0.00200939792992138,7.23364715532148e-06,-0.000307618918048448,0.0014067919396768,-0.00056510987387993,6.10585609965278e-05,0.000765692368602219,-0.00185800540809549,-0.00108780036517918
"mu8",0.000154612828884164,0.000671035908680113,-0.0147708317641372,-0.00448539635400126,0.0196517882547854,-0.00204678439058785,-0.0124975406293919,-0.00498150967064656,0.00614645528053021,0.00630782238089507,0.00247257500076653,-0.0306400663306309,-0.00107935610194522,0.000842421849286114,-0.000122352920319234,0.000949872669131875,-0.00193445129419852,0.000959994844799277,0.00320915514812644
"mu10",0.000638170821931562,-0.00165964417968253,0.0200708848086163,0.0035713220811155,-0.00204678439058785,0.0474393841963663,-0.0179051504281206,-0.0137303172584017,-0.0111431777636485,0.0170923051958176,-0.0163436897903748,-0.0138682514067906,0.00624888600654947,0.00220011653908952,-0.00344737294727848,-0.00193397524332235,-0.000570890978658483,-0.0075345712026724,-0.00823178022028975
"gamma2",0.00145926691168602,0.00313204910534074,0.00654370513724813,-0.00503662315679659,-0.0124975406293919,-0.0179051504281206,0.0486605933077348,0.00205841195891544,-0.00298232374568847,-0.0112811630411324,0.0115636619733582,0.0457449268833867,-0.000520180303675801,-0.00727829298660974,0.00548067159555853,-0.00101739176348819,0.00107574602152114,0.00601863685517254,0.00105510947613013
"gamma5",-0.00117232357240491,6.30168926942696e-06,-0.00232687980217768,0.00052448576610909,-0.00498150967064656,-0.0137303172584017,0.00205841195891544,0.015085225881147,0.00234494955782169,-0.00644447687562375,0.00198701588934386,0.0130253404811989,-0.00103566152611603,-0.00151849663510546,0.000577410550186844,0.00128050354522485,-0.000707130232907868,0.00184189647318745,-0.00064278875046915
"gamma6",0.000346381885318118,0.000593722594580984,-0.0183793008238457,-0.00106601779912899,0.00614645528053021,-0.0111431777636485,-0.00298232374568847,0.00234494955782169,0.0135690562650829,-0.00133549862860295,0.00467994342480181,-0.0109266223630934,-0.00351724217727352,0.00150535570422373,0.00114889239219295,4.23968904639895e-05,0.000588133186254569,0.00154751900876929,0.00199143608108009
"gamma7",0.000568500143924344,-9.61660627980836e-05,0.0014264772949806,-0.00119908748959571,0.00630782238089507,0.0170923051958176,-0.0112811630411324,-0.00644447687562375,-0.00133549862860295,0.0299527101465565,0.00186397240865158,-0.0252544665998731,0.00457483104911799,0.0019930633346456,-0.00297266549429872,-0.000366824864828763,-0.0044927058232388,0.00151421047104027,-0.00234888792177558
"gamma8",-0.000319054426426531,0.000961244248376352,-0.00673855778455444,-0.00200939792992138,0.00247257500076653,-0.0163436897903748,0.0115636619733582,0.00198701588934386,0.00467994342480181,0.00186397240865158,0.0251035875854241,-0.00175712379183511,-0.0027971169590869,0.000770247565534834,0.0033647984663367,-0.00107731174722549,-0.00278185188652774,0.00418981391286521,-0.00228815989770895
"gamma10",-0.000224062370444279,-0.000375602063827455,0.025262218299817,7.23364715532148e-06,-0.0306400663306309,-0.0138682514067906,0.0457449268833867,0.0130253404811989,-0.0109266223630934,-0.0252544665998731,-0.00175712379183511,0.090224997781207,-0.000805261618344933,-0.00445119605090054,0.00339427759361236,-0.00025275879369843,0.00556323632708442,-0.00045574456927303,0.00221867061253302
"f2",-7.69801211711824e-05,-0.000399797553556181,0.00545481275807587,-0.000307618918048448,-0.00107935610194522,0.00624888600654947,-0.000520180303675801,-0.00103566152611603,-0.00351724217727352,0.00457483104911799,-0.0027971169590869,-0.000805261618344933,0.00690792989010232,-0.0031080746324268,-0.00163027648421978,-0.000296829102124136,-0.00167524201630352,0.000610569165459074,0.00159597586864997
"f5",-0.000146382019111604,-0.0011620004603443,0.000175888006929667,0.0014067919396768,0.000842421849286114,0.00220011653908952,-0.00727829298660974,-0.00151849663510546,0.00150535570422373,0.0019930633346456,0.000770247565534834,-0.00445119605090054,-0.0031080746324268,0.00659541029166286,-0.000998552071080146,-0.000798703947737627,0.000493315391540816,-0.00219236499042416,-0.000561079924861896
"f6",8.59699118130435e-05,0.000606965289307771,-0.00167073890398676,-0.00056510987387993,-0.000122352920319234,-0.00344737294727848,0.00548067159555853,0.000577410550186844,0.00114889239219295,-0.00297266549429872,0.0033647984663367,0.00339427759361236,-0.00163027648421978,-0.000998552071080146,0.00280945344711918,-0.000506071461956896,-2.77322305111486e-05,0.000429380002284659,-0.00134133248746018
"f7",-4.6268421311627e-05,-0.000454432287184342,-0.00117611242210302,6.10585609965278e-05,0.000949872669131875,-0.00193397524332235,-0.00101739176348819,0.00128050354522485,4.23968904639895e-05,-0.000366824864828763,-0.00107731174722549,-0.00025275879369843,-0.000296829102124136,-0.000798703947737627,-0.000506071461956896,0.00225718471882727,-0.000690062944444335,-7.42743188163158e-05,0.00124694499022101
"f8",0.000346041714557019,0.000437371798696514,-0.001021931868632,0.000765692368602219,-0.00193445129419852,-0.000570890978658483,0.00107574602152114,-0.000707130232907868,0.000588133186254569,-0.0044927058232388,-0.00278185188652774,0.00556323632708442,-0.00167524201630352,0.000493315391540816,-2.77322305111486e-05,-0.000690062944444335,0.00361976651036482,-0.00119049842181239,0.000452134147048648
"f10",1.75047900399475e-07,0.00132886599835587,-0.00355725348301765,-0.00185800540809549,0.000959994844799277,-0.0075345712026724,0.00601863685517254,0.00184189647318745,0.00154751900876929,0.00151421047104027,0.00418981391286521,-0.00045574456927303,0.000610569165459074,-0.00219236499042416,0.000429380002284659,-7.42743188163158e-05,-0.00119049842181239,0.00480343639701888,0.00136520108095661
"grow",0.000364408685930523,0.000157604597257193,-0.00295741340549649,-0.00108780036517918,0.00320915514812644,-0.00823178022028975,0.00105510947613013,-0.00064278875046915,0.00199143608108009,-0.00234888792177558,-0.00228815989770895,0.00221867061253302,0.00159597586864997,-0.000561079924861896,-0.00134133248746018,0.00124694499022101,0.000452134147048648,0.00136520108095661,0.0138973197801755
