"","mu2","mu5","mu6","mu7","mu8","mu10","gamma2","gamma5","gamma6","gamma7","gamma8","gamma10","f2","f5","f6","f7","f8","f10","grow"
"mu2",0.00153428660242444,0.000618290280411616,0.000594293595257043,-0.000580140818764309,-0.00436804765101363,0.000122583782433687,0.00135969281806299,-0.00232459732503114,0.000736419716418353,0.00421239756441436,-3.38654164249143e-05,-0.00053106681218988,-0.00049292291587413,-4.22116347272185e-05,-2.6138006478546e-05,0.000257289603884209,-0.00082957812955164,0.000141524654872735,0.000525928291673141
"mu5",0.000618290280411616,0.00212271039282118,0.000473151722602119,-0.000558645133281194,0.00018815152071035,0.000596113385696618,0.00159463836561174,-0.00404667394969084,0.00179717666094943,0.00370714179095987,0.000247948959615522,0.000844953872888014,0.000208849332189706,-0.000168949111141395,-0.000403568080718166,-0.000144444957604027,-0.00100300672771324,0.000313862910506703,0.00127278981865461
"mu6",0.000594293595257043,0.000473151722602119,0.0202897670721251,-0.00289660389827667,-0.0207748034345753,-0.00984324665801789,-0.0113909536340544,-0.0140666756908635,-0.000493822376397572,-0.0039641746432311,0.018366128934411,-0.0159477745844739,0.00219026265895722,-0.0046419485349373,-0.000443585001218,0.00448128916544341,-0.00363220925283321,-0.00160264785414415,9.06374468464662e-05
"mu7",-0.000580140818764309,-0.000558645133281194,-0.00289660389827667,0.0062273384080121,-0.0121652338363918,0.0028736214597061,-0.00302628398965131,0.0095854609841313,-0.0177117023592034,-0.00975204062432805,0.00743773960713995,-0.00987517722682369,0.000335333373516377,0.000417442933020307,0.00117645859217592,-0.00169415882808949,0.00279068706532884,-0.00341938672893339,-0.0117039133970153
"mu8",-0.00436804765101363,0.00018815152071035,-0.0207748034345753,-0.0121652338363918,0.293331723165861,-0.00123543570819871,0.0779172823130142,-0.0533555283254,0.140017218972973,0.0418028344787613,-0.200965905945471,0.168623182650536,0.0116409022857754,0.00541946214520201,-0.00320345450058391,-0.00557305302935302,-0.0119003568991232,0.0291094014701924,0.0892158949724521
"mu10",0.000122583782433687,0.000596113385696618,-0.00984324665801789,0.0028736214597061,-0.00123543570819871,0.0190714929354044,0.00974827948241075,-0.00522366649999292,-0.0160294068681226,0.00026014357427472,-0.00584577237632573,-0.00709945478296479,-0.000610328044004777,0.00154787506285782,0.00138526722643927,-0.00494483249855418,0.00332334707124199,-0.00167223700054151,-0.0158041802191614
"gamma2",0.00135969281806299,0.00159463836561174,-0.0113909536340544,-0.00302628398965131,0.0779172823130142,0.00974827948241075,0.0978460930486107,-0.0204244748182634,0.0536455348994209,0.0272992662311061,-0.132305728100435,0.0548779207846835,0.000571230356726766,-0.000686366600457959,0.0032878100931939,-0.00267398660368989,-0.00226710307126477,0.00200305256372778,0.00684415364625301
"gamma5",-0.00232459732503114,-0.00404667394969084,-0.0140666756908635,0.0095854609841313,-0.0533555283254,-0.00522366649999292,-0.0204244748182634,0.0948717628113155,-0.046887727627116,-0.0284537166874615,0.039324215006667,-0.0195660209218438,-0.00121671919501609,0.00106639443696766,0.00160652717370881,-0.00174524762246753,0.0166089991727619,-0.0105635936028585,-0.0225670538011542
"gamma6",0.000736419716418353,0.00179717666094943,-0.000493822376397572,-0.0177117023592034,0.140017218972973,-0.0160294068681226,0.0536455348994209,-0.046887727627116,0.182850738589438,0.0531405653749173,-0.0995690479915928,0.122866165306681,0.00220232914925138,-0.00293562912300037,-0.0031332102030183,0.0116243130225804,-0.0248491128495598,0.0273075825533439,0.100705623540059
"gamma7",0.00421239756441436,0.00370714179095987,-0.0039641746432311,-0.00975204062432805,0.0418028344787613,0.00026014357427472,0.0272992662311061,-0.0284537166874615,0.0531405653749173,0.0499736726539364,-0.04202992107599,0.0404319605261209,-0.00356996119495031,0.00417440730269758,-0.000198645394454384,0.000635161248314178,-0.00971230053947082,0.0101049266126594,0.0304824267156176
