"","mu2","mu5","mu6","mu7","mu8","mu10","gamma2","gamma5","gamma6","gamma7","gamma8","gamma10","f2","f5","f6","f7","f8","f10","grow"
"mu2",0.0380739832943557,0.0256462112550467,-0.00770822441697358,0.0104917433138013,0.00194727836808311,0.0350327792432052,0.0121033090180522,0.00106600797209314,0.00280049523595399,-0.0125336126356582,0.00948860341569987,-0.00969973510770768,0.00381435022695518,0.000262737826690335,0.00648271534535106,0.000407383599044256,0.00589951391434429,-0.00270193646865308,-0.025123035578976
"mu5",0.0256462112550467,0.0323399045738518,-0.0155019525852851,0.011525227804974,-0.00804113047469456,0.0224501123749007,0.0105619942035008,-0.0110901671342654,0.00342021152804693,-0.0127391706394331,-0.00106780336419306,-0.00390243145836057,0.0015911485743944,0.00151065978926224,0.00496511132923314,0.00097029612473778,0.0061527687679811,-0.00049612005215362,-0.029530311645048
"mu6",-0.00770822441697358,-0.0155019525852851,0.0966773653623883,0.035804455023995,0.100882776437742,0.0933472413681827,0.00743838841179915,0.115234880411287,0.0795943487919317,0.0616989051289953,0.131110716598205,0.0370775273237362,0.00275238305114725,0.00396255149530823,0.0017703591024165,0.00583562055453935,-0.00279415023205778,0.0266630596656545,0.166896155448981
"mu7",0.0104917433138013,0.011525227804974,0.035804455023995,0.0344257950963689,0.0477348697239494,0.0602995555112317,0.010439560481944,0.047776656309519,0.048916122068606,0.0273113822427863,0.072277618512019,0.0191927059702678,0.00244272980246123,0.00284567648891833,0.00434650741074527,0.00399900515574128,0.00293914545640971,0.015503041869278,0.0662756690692547
"mu8",0.00194727836808311,-0.00804113047469456,0.100882776437742,0.0477348697239494,0.143272796760665,0.124556053335372,0.00437035490116337,0.148854881569568,0.111516762824325,0.0629665610302861,0.163102169743122,0.017586364708887,0.00517176029854919,0.00538175845911685,0.00190448546849751,0.00434716645119917,-0.00446818527168476,0.0333429136461659,0.195346191611339
"mu10",0.0350327792432052,0.0224501123749007,0.0933472413681827,0.0602995555112317,0.124556053335372,0.173269072225967,0.0261650650696648,0.148060585367019,0.102229562955472,0.0631730448436064,0.163300353445341,0.0250362638695763,0.00925199906603284,0.00882777595325016,0.0145395970854163,0.00297109630885786,0.00606519166881038,0.0277657994247867,0.169460369829873
"gamma2",0.0121033090180522,0.0105619942035008,0.00743838841179915,0.010439560481944,0.00437035490116337,0.0261650650696648,0.0151657734695601,0.00796151404161712,0.00920306785134396,0.00290318489174947,0.015324371266336,0.01047611980388,0.00160455517181948,0.0017986761663588,0.00567852014056781,-0.000710075084164998,0.00522049932608205,0.00389103648213108,0.00781973450451785
"gamma5",0.00106600797209314,-0.0110901671342654,0.115234880411287,0.047776656309519,0.148854881569568,0.148060585367019,0.00796151404161712,0.189504437439975,0.106594389570245,0.0890791454819874,0.185903890458806,0.023503022907212,0.00759026291780285,0.00744917895646144,0.00418918328096524,0.00295044232008449,-0.0108660009534806,0.0409291632955615,0.248394449611029
"gamma6",0.00280049523595399,0.00342021152804693,0.0795943487919317,0.048916122068606,0.111516762824325,0.102229562955472,0.00920306785134396,0.106594389570245,0.116649076129961,0.0387193777722575,0.130336094079975,0.0286742665424155,0.0011379820789109,0.00872443371421331,0.00105189642901515,0.00375273220419121,0.00271759514518063,0.0275908296040411,0.141298508215753
"gamma7",-0.0125336126356582,-0.0127391706394331,0.0616989051289953,0.0273113822427863,0.0629665610302861,0.0631730448436064,0.00290318489174947,0.0890791454819874,0.0387193777722575,0.0804941503930242,0.100866488730166,0.0355760228238374,0.00357799378143313,0.000664338341685854,0.00397157530292657,0.000547074340829707,-0.00263227800242111,0.0266846487974886,0.155175878951401
"gamma8",0.00948860341569987,-0.00106780336419306,0.131110716598205,0.072277618512019,0.163102169743122,0.163300353445341,0.015324371266336,0.185903890458806,0.130336094079975,0.100866488730166,0.231855967003823,0.0450873012318981,0.00821683037921808,0.00606049790006045,0.00476834474254563,0.00799041543650789,-0.0068475940048687,0.0526996804023369,0.26745416593167
"gamma10",-0.00969973510770768,-0.00390243145836057,0.0370775273237362,0.0191927059702678,0.017586364708887,0.0250362638695763,0.01047611980388,0.023503022907212,0.0286742665424155,0.0355760228238374,0.0450873012318981,0.0481742639101593,-0.00123964110964514,0.00298286218583595,0.00249616438645368,-0.000698106774078975,0.00811981891084081,0.0126374880354634,0.065716551677069
"f2",0.00381435022695518,0.0015911485743944,0.00275238305114725,0.00244272980246123,0.00517176029854919,0.00925199906603284,0.00160455517181948,0.00759026291780285,0.0011379820789109,0.00357799378143313,0.00821683037921808,-0.00123964110964514,0.0032582350602936,-0.00112232340496894,0.000996973954907323,-0.000762920160391036,0.000184793188416161,0.00132245021289555,0.00673858171456275
"f5",0.000262737826690335,0.00151065978926224,0.00396255149530823,0.00284567648891833,0.00538175845911685,0.00882777595325016,0.0017986761663588,0.00744917895646144,0.00872443371421331,0.000664338341685854,0.00606049790006045,0.00298286218583595,-0.00112232340496894,0.00502697184677342,0.000276327592270453,-0.000594246049182247,0.00125541485424132,-0.000502094093155292,0.00824111911216961
"f6",0.00648271534535106,0.00496511132923314,0.0017703591024165,0.00434650741074527,0.00190448546849751,0.0145395970854163,0.00567852014056781,0.00418918328096524,0.00105189642901515,0.00397157530292657,0.00476834474254563,0.00249616438645368,0.000996973954907323,0.000276327592270453,0.00555714234654862,-0.000557520119379877,0.00269964555948877,-1.52107378679281e-06,0.00135747226270361
"f7",0.000407383599044256,0.00097029612473778,0.00583562055453935,0.00399900515574128,0.00434716645119917,0.00297109630885786,-0.000710075084164998,0.00295044232008449,0.00375273220419121,0.000547074340829707,0.00799041543650789,-0.000698106774078975,-0.000762920160391036,-0.000594246049182247,-0.000557520119379877,0.00896807166650008,-0.00415888200287481,0.00200399767070783,-0.000171354797658899
"f8",0.00589951391434429,0.0061527687679811,-0.00279415023205778,0.00293914545640971,-0.00446818527168476,0.00606519166881038,0.00522049932608205,-0.0108660009534806,0.00271759514518063,-0.00263227800242111,-0.0068475940048687,0.00811981891084081,0.000184793188416161,0.00125541485424132,0.00269964555948877,-0.00415888200287481,0.0113172790604166,-0.00435995856855559,-0.0140665245784822
"f10",-0.00270193646865308,-0.00049612005215362,0.0266630596656545,0.015503041869278,0.0333429136461659,0.0277657994247867,0.00389103648213108,0.0409291632955615,0.0275908296040411,0.0266846487974886,0.0526996804023369,0.0126374880354634,0.00132245021289555,-0.000502094093155292,-1.52107378679281e-06,0.00200399767070783,-0.00435995856855559,0.0205967715667001,0.0725423544433126
"grow",-0.025123035578976,-0.029530311645048,0.166896155448981,0.0662756690692547,0.195346191611339,0.169460369829873,0.00781973450451785,0.248394449611029,0.141298508215753,0.155175878951401,0.26745416593167,0.065716551677069,0.00673858171456275,0.00824111911216961,0.00135747226270361,-0.000171354797658899,-0.0140665245784822,0.0725423544433126,0.40218281410775
