"","mu_phage","gamma_phage","f_phage","mu_plasmid","gamma_plasmid","f_plasmid","grow"
"mu_phage",0.00241951722865661,0.00118971890403735,-1.27170761909537e-05,-2.44469984694397e-06,0.00291099138187854,0.000678760090166884,-0.000926995979862904
"gamma_phage",0.00118971890403735,0.225677696407998,-0.00234979836598934,0.107448554101228,0.0768040254874095,0.00575813690003496,0.0995798781776439
"f_phage",-1.27170761909537e-05,-0.00234979836598934,0.00215737620441279,0.0009530703060687,-0.000642586993400583,-0.000365015065859734,-0.00198518289794907
"mu_plasmid",-2.44469984694397e-06,0.107448554101228,0.0009530703060687,0.146265906795043,0.0422271286951851,0.00119523258079243,0.132120682392478
"gamma_plasmid",0.00291099138187854,0.0768040254874095,-0.000642586993400583,0.0422271286951851,0.0684996204542302,0.00357922767651899,0.0280355102896664
"f_plasmid",0.000678760090166884,0.00575813690003496,-0.000365015065859734,0.00119523258079243,0.00357922767651899,0.00273348221322402,-0.000442223847201102
"grow",-0.000926995979862904,0.0995798781776439,-0.00198518289794907,0.132120682392478,0.0280355102896664,-0.000442223847201102,0.175380875503798
