"","mu_phage","gamma_phage","f_phage","mu_plasmid","gamma_plasmid","f_plasmid","grow"
"mu_phage",0.0011790712923291,-0.000402015932664281,0.000264959702288276,1.81361621538264e-05,-0.000373338364592887,1.51378932756976e-05,8.81865389815546e-05
"gamma_phage",-0.000402015932664281,0.0420629539701588,-0.00111213302469369,0.0277013904679453,0.000472411524554411,0.00213705286777403,0.00555492975775352
"f_phage",0.000264959702288276,-0.00111213302469369,0.00278182067337966,-0.000961501013107296,-0.00250225336874884,-0.000888853050001631,-0.000865998503262114
"mu_plasmid",1.81361621538264e-05,0.0277013904679453,-0.000961501013107296,0.0664483606656972,-0.0132170958432107,-0.00184102610967457,-0.00548555816681435
"gamma_plasmid",-0.000373338364592887,0.000472411524554411,-0.00250225336874884,-0.0132170958432107,0.074717589826349,0.00845055170957165,0.0203240749129828
"f_plasmid",1.51378932756976e-05,0.00213705286777403,-0.000888853050001631,-0.00184102610967457,0.00845055170957165,0.00256505946778459,0.0045016842988201
"grow",8.81865389815546e-05,0.00555492975775352,-0.000865998503262114,-0.00548555816681435,0.0203240749129828,0.0045016842988201,0.015232914204763
