"","mu_phage","gamma_phage","f_phage","mu_plasmid","gamma_plasmid","f_plasmid","grow"
"mu_phage",0.00113845570852885,0.00381367027997008,-0.000401714544413217,0.00344922342105788,0.00475669649599888,0.000197493184230431,0.000176676523317487
"gamma_phage",0.00381367027997008,0.504147477488468,0.00228823854448706,-0.0343398068466475,0.966599008355572,0.00103783580298797,-0.0194049371421184
"f_phage",-0.000401714544413217,0.00228823854448706,0.00226411408003951,-0.0062999450518083,0.0123369027925956,-0.00145033406258297,-0.00455114995045827
"mu_plasmid",0.00344922342105788,-0.0343398068466475,-0.0062999450518083,0.272354758878982,-0.133113473029466,0.00470123651794105,0.0259286034650652
"gamma_plasmid",0.00475669649599888,0.966599008355572,0.0123369027925956,-0.133113473029466,2.06011539781242,-0.011478658579782,-0.085826759827437
"f_plasmid",0.000197493184230431,0.00103783580298797,-0.00145033406258297,0.00470123651794105,-0.011478658579782,0.0035721483403473,0.00809697991313404
"grow",0.000176676523317487,-0.0194049371421184,-0.00455114995045827,0.0259286034650652,-0.085826759827437,0.00809697991313404,0.0302244507447992
