"","mu_phage","gamma_phage","f_phage","mu_plasmid","gamma_plasmid","f_plasmid","grow"
"mu_phage",0.00104742368049362,0.00106509768205224,-1.87327201071707e-05,-0.0011970946712179,-0.000272514042866045,0.000130083824632172,0.00101062429077119
"gamma_phage",0.00106509768205224,0.206509880721432,-0.00263145871170323,-0.286215925847587,-0.0974465169316321,0.00507307716457986,0.0160465007568014
"f_phage",-1.87327201071707e-05,-0.00263145871170323,0.00106531694319829,0.00494834029225066,0.000300462348868766,-0.000294649844933535,-0.000545948878289642
"mu_plasmid",-0.0011970946712179,-0.286215925847587,0.00494834029225066,0.469722092445569,0.145121078915282,-0.00873776083078357,-0.0207694281870471
"gamma_plasmid",-0.000272514042866045,-0.0974465169316321,0.000300462348868766,0.145121078915282,0.0715788856140339,-0.00265612807200512,-0.000907069683221596
"f_plasmid",0.000130083824632172,0.00507307716457986,-0.000294649844933535,-0.00873776083078357,-0.00265612807200512,0.00176682414546627,0.00443782514189348
"grow",0.00101062429077119,0.0160465007568014,-0.000545948878289642,-0.0207694281870471,-0.000907069683221596,0.00443782514189348,0.0216408283664183
