"","mu","gamma","f","grow"
"mu",0.413538854206208,0.0727555032718331,-0.000359920620441144,-0.00532129978936884
"gamma",0.0727555032718331,0.341413955776008,0.00294643426560618,-0.00115814128045704
"f",-0.000359920620441144,0.00294643426560618,0.000499064527828225,0.000956418874339962
"grow",-0.00532129978936884,-0.00115814128045704,0.000956418874339962,0.00861320759503807
