"","mu","gamma","f","grow"
"mu",0.11195131519275,0.0404556705899004,-0.000430831292661034,-0.00171348939826474
"gamma",0.0404556705899004,0.403111200414259,-0.000472467898802759,-0.0118539890407362
"f",-0.000430831292661034,-0.000472467898802759,0.000475173668433229,0.00136251468908916
"grow",-0.00171348939826474,-0.0118539890407362,0.00136251468908916,0.0128426341429754
