"","mu","gamma","f","grow"
"mu",0.403419201665694,0.198569630072094,0.00221541063292445,0.00929638630300557
"gamma",0.198569630072094,0.434389797047842,0.000602841451346324,-0.00212800541257574
"f",0.00221541063292445,0.000602841451346324,0.000549670795920413,0.000756422678801715
"grow",0.00929638630300557,-0.00212800541257574,0.000756422678801715,0.0141422815082293
