"","mu","gamma","f","grow"
"mu",1.05670105342099,0.207503401445942,-0.00523232159343811,0.242639193694332
"gamma",0.207503401445942,0.0847735410448241,-0.00115175479321491,0.0233501026863406
"f",-0.00523232159343811,-0.00115175479321491,0.000544198719348172,-0.000542215065061212
"grow",0.242639193694332,0.0233501026863406,-0.000542215065061212,0.108558765518766
