"","pig","parent_strain","time","name","sum_prop"
"170",2,1,288,"phi3",0
"171",2,1,384,"SCCmec",1
"172",2,1,384,"p4",0
"173",2,1,384,"phi6",1
"174",2,1,384,"SaPI",1
"175",2,1,384,"Tn916",1
"176",2,1,384,"phi2",1
"177",2,1,384,"p1",1
"178",2,1,384,"p2",1
"179",2,1,384,"p3",0.95
"180",2,1,384,"phi3",0
"181",2,2,0,"SCCmec",0
"182",2,2,0,"p4",1
"183",2,2,0,"phi6",0
"184",2,2,0,"SaPI",0
"185",2,2,0,"Tn916",0
"186",2,2,0,"phi2",0
"187",2,2,0,"p1",0
"188",2,2,0,"p2",0
"189",2,2,0,"p3",0
"190",2,2,0,"phi3",1
"191",2,2,4,"SCCmec",0
"192",2,2,4,"p4",0.3
"193",2,2,4,"phi6",0
"194",2,2,4,"SaPI",0
"195",2,2,4,"Tn916",0
"196",2,2,4,"phi2",0
"197",2,2,4,"p1",0
"198",2,2,4,"p2",0
"199",2,2,4,"p3",0
"200",2,2,4,"phi3",1
"201",2,2,48,"SCCmec",0
"202",2,2,48,"p4",0
"203",2,2,48,"phi6",0.65
"204",2,2,48,"SaPI",0
"205",2,2,48,"Tn916",0
"206",2,2,48,"phi2",0
"207",2,2,48,"p1",0
"208",2,2,48,"p2",0
"209",2,2,48,"p3",0
"210",2,2,48,"phi3",1
"211",2,2,72,"SCCmec",0
"212",2,2,72,"p4",0
"213",2,2,72,"phi6",0.85
"214",2,2,72,"SaPI",0
"215",2,2,72,"Tn916",0
"216",2,2,72,"phi2",0.6
"217",2,2,72,"p1",0
"218",2,2,72,"p2",0
"219",2,2,72,"p3",0
"220",2,2,72,"phi3",1
"221",2,2,288,"SCCmec",0
"222",2,2,288,"p4",0
"223",2,2,288,"phi6",0.8
"224",2,2,288,"SaPI",0
"225",2,2,288,"Tn916",0
"226",2,2,288,"phi2",1
"227",2,2,288,"p1",0
"228",2,2,288,"p2",0
"229",2,2,288,"p3",0
"230",2,2,288,"phi3",1
"231",2,2,384,"SCCmec",0
"232",2,2,384,"p4",0
"233",2,2,384,"phi6",0.7
"234",2,2,384,"SaPI",0
"235",2,2,384,"Tn916",0
"236",2,2,384,"phi2",0.9
"237",2,2,384,"p1",0.15
"238",2,2,384,"p2",0.45
"239",2,2,384,"p3",0
"240",2,2,384,"phi3",1
"241",3,1,0,"SCCmec",1
"242",3,1,0,"p4",0
"243",3,1,0,"phi6",1
"244",3,1,0,"SaPI",1
"245",3,1,0,"Tn916",1
"246",3,1,0,"phi2",1
"247",3,1,0,"p1",1
"248",3,1,0,"p2",1
"249",3,1,0,"p3",1
"250",3,1,0,"phi3",0
"251",3,1,4,"SCCmec",1
"252",3,1,4,"p4",0
"253",3,1,4,"phi6",1
"254",3,1,4,"SaPI",1
"255",3,1,4,"Tn916",1
"256",3,1,4,"phi2",1
"257",3,1,4,"p1",0.95
"258",3,1,4,"p2",1
"259",3,1,4,"p3",1
"260",3,1,4,"phi3",0
"261",3,1,48,"SCCmec",1
"262",3,1,48,"p4",0
"263",3,1,48,"phi6",1
"264",3,1,48,"SaPI",1
"265",3,1,48,"Tn916",1
"266",3,1,48,"phi2",1
"267",3,1,48,"p1",1
"268",3,1,48,"p2",1
"269",3,1,48,"p3",1
"270",3,1,48,"phi3",0
"271",3,1,72,"SCCmec",1
"272",3,1,72,"p4",0
"273",3,1,72,"phi6",1
"274",3,1,72,"SaPI",1
"275",3,1,72,"Tn916",1
"276",3,1,72,"phi2",1
"277",3,1,72,"p1",1
"278",3,1,72,"p2",1
"279",3,1,72,"p3",1
"280",3,1,72,"phi3",0
"281",3,1,288,"SCCmec",1
"282",3,1,288,"p4",0
"283",3,1,288,"phi6",1
"284",3,1,288,"SaPI",1
"285",3,1,288,"Tn916",1
